PostalCode,Neighborhood
98003,Federal Way
98005,Bellevue
98033,Kirkland
98037,Lynnwood
98040,Mercer Island
98052,Redmond
98055,Renton
98101,Seattle
98101,Downtown
98102,Capital Hill
98103,Greenwood
98103,Freemont
98103,Greenlake
98104,International District
98104,Pioneer Square
98105,University District
98105,Laurelhurst
98107,Ballard
98109,South Lake Union
98109,Queen Anne
98110,Bainbridge Island
98110,Madrona
98116,West Seattle
98116,Alki Beach
98118,Columbia City
98121,Belltown
98125,Northgate
98144,Mount Baker
98199,Magnolia
